radius,K_inhom,Poisson_theoretical
1742.0960036621009,467114946.0601704,9534414.787931299
3484.1920073242018,595556880.060628,38137659.151725195
5226.288010986304,713668487.8831402,85809733.09138171
6968.384014648404,945859575.2240305,152550636.60690084
8710.480018310505,1271511643.9434597,238360369.69828254
10452.576021972607,1613161661.858127,343238932.36552685
12194.672025634707,2050233669.1703687,467186324.6086337
13936.768029296807,2435940859.048455,610202546.4276031
15678.86403295891,2809158770.6605616,772287597.8224355
17420.96003662101,3313771900.7100887,953441478.7931302
19163.05604028311,3801927016.366563,1153664189.3396873
20905.15204394521,4245634366.5288477,1372955729.462107
22647.248047607314,4679083650.567579,1611316099.1603901
24389.344051269414,5150418321.648937,1868745298.4345348
26131.440054931514,5636172094.338952,2145243327.2845426
27873.536058593618,6114105588.323607,2440810185.7104135
29615.632062255718,6665421741.73546,2755445873.712146
31357.728065917818,7192684183.514857,3089150391.2897415
33099.824069579925,7788407275.491592,3441923738.4432006
34841.92007324202,8346436587.102263,3813765915.1725206
36584.016076904125,9051574908.514994,4204676921.4777045
38326.11208056623,9670981397.371822,4614656757.358751
40068.208084228325,10225209760.137249,5043705422.815659
41810.30408789043,10876309052.906319,5491822917.84843
43552.40009155253,11542866201.703146,5959009242.457065
45294.49609521463,12129119927.07452,6445264396.641561
47036.59209887673,12672947630.351942,6950588380.40192
48778.688102538836,13398861426.274374,7474981193.738142
50520.78410620093,13963527763.047903,8018442836.650225
52262.880109863036,14416488841.694977,8580973309.138172
54004.97611352514,14895335501.15292,9162572611.201982
55747.072117187236,15395626014.656282,9763240742.841654
57489.16812084934,15888687033.607449,10382977704.057188
59231.26412451144,16414111571.780123,11021783494.848587
60973.36012817354,16843631435.461372,11679658115.215843
62715.45613183564,17405473277.644077,12356601565.158968
64457.552135497746,17817857390.839134,13052613844.677954
66199.64813915984,18275402909.880074,13767694953.772797
67941.74414282193,18737048330.18894,14501844892.443506
69683.84014648404,19129247746.643448,15255063660.690083
71425.93615014614,19459418743.79752,16027351258.512516
73168.03215380824,19824311709.035023,16818707685.91081
74910.12815747035,20215252527.801403,17629132942.884975
76652.22416113244,20545685009.5667,18458627029.434998
78394.32016479454,20817582290.56149,19307189945.56088
80136.41616845665,21160441560.196136,20174821691.262634
81878.51217211875,21520036455.91931,21061522266.54024
83620.60817578084,21817807132.61197,21967291671.39371
85362.70417944295,22127128520.072765,22892129905.823055
87104.80018310505,22438365454.076496,23836036969.828247
